ResinTag #,Plot ,Rep,Installed,Removed,Extracted,ug NH4-N/day,ug NO3-N/day,Notes
1,1,,11-May-16,8-Aug-16,8-Aug-16,0,11.23259645,
2,1,,11-May-16,8-Aug-16,8-Aug-16,0.985617978,22.60857756,"Exposed on top of soil, not completely buried. A lot of debris in the area and a fallen branch. Orange flags."
3,1,,11-May-16,8-Aug-16,8-Aug-16,0.528539326,9.852003879,
4,2,,11-May-16,8-Aug-16,8-Aug-16,0.950561798,19.3385153,
5,2,,11-May-16,8-Aug-16,8-Aug-16,2.648089888,30.97037534,Was stepped on a lot. Soil was very compacted. 
6,2,,11-May-16,8-Aug-16,8-Aug-16,0.268314607,25.79646939,
7,3,,11-May-16,8-Aug-16,8-Aug-16,4.371235955,10.56561025,
8,3,,11-May-16,8-Aug-16,8-Aug-16,1.015280899,4.694921644,
9,3,,11-May-16,8-Aug-16,8-Aug-16,0.149662921,18.19459386,
10,4,,11-May-16,8-Aug-16,8-Aug-16,1.244494382,6.514888793,
11,4,,11-May-16,8-Aug-16,8-Aug-16,1.37258427,3.352791354,
12,4,,11-May-16,8-Aug-16,8-Aug-16,1.888988764,21.78072398,
13,5,,11-May-16,8-Aug-16,8-Aug-16,0.459775281,8.106365575,
14,5,,11-May-16,8-Aug-16,8-Aug-16,1.119101124,9.010773847,
15,5,,11-May-16,8-Aug-16,8-Aug-16,1.914606742,7.237800546,
16,6,,11-May-16,8-Aug-16,8-Aug-16,0.989662921,23.18768125,Area may have been stepped on. Soil very compacted.
17,6,,11-May-16,8-Aug-16,8-Aug-16,0,13.50895729,
18,6,,11-May-16,8-Aug-16,8-Aug-16,0.179325843,4.541592219,
19,Blanks,,11-May-16,8-Aug-16,8-Aug-16,,,Blanks
20,Blanks,,11-May-16,8-Aug-16,8-Aug-16,,,Blanks
21,1,,10-Aug-16,26-Sep-16,8-Nov-16,2.803404255,28.9932743,
22,1,,10-Aug-16,26-Sep-16,8-Nov-16,0.002553191,13.00814812,
23,1,,10-Aug-16,26-Sep-16,8-Nov-16,1.222978723,39.41967877,
24,2,,10-Aug-16,26-Sep-16,8-Nov-16,1.092765957,25.73878779,
25,2,,10-Aug-16,26-Sep-16,8-Nov-16,3.472340426,21.04009179,
26,2,,10-Aug-16,26-Sep-16,8-Nov-16,0.528510638,9.384725271,
27,3,,10-Aug-16,26-Sep-16,8-Nov-16,11.94382979,12.69248022,
28,3,,10-Aug-16,26-Sep-16,8-Nov-16,5.024680851,21.06482437,
29,3,,10-Aug-16,26-Sep-16,8-Nov-16,0.970212766,12.50004455,
30,4,,10-Aug-16,26-Sep-16,8-Nov-16,0,4.721865699,
31,4,,10-Aug-16,26-Sep-16,8-Nov-16,0,13.45144718,
32,4,,10-Aug-16,26-Sep-16,8-Nov-16,0,4.549742255,
33,5,,10-Aug-16,26-Sep-16,8-Nov-16,0,5.818584325,Root growing through capsule.
34,5,,10-Aug-16,26-Sep-16,8-Nov-16,0.686808511,19.41798672,
35,5,,10-Aug-16,26-Sep-16,8-Nov-16,0.605106383,7.393676223,Worm on top of capsule.
36,6,,10-Aug-16,26-Sep-16,8-Nov-16,0.168510638,9.399076731,
37,6,,10-Aug-16,26-Sep-16,8-Nov-16,0.6,12.29711002,
38,6,,10-Aug-16,26-Sep-16,8-Nov-16,0.150638298,20.8384658,
39,Blanks,,10-Aug-16,26-Sep-16,8-Nov-16,,,Blanks
40,Blanks,,10-Aug-16,26-Sep-16,8-Nov-16,,,Blanks
41,1,,27-Sep-16,30-Dec-16,20-Jan-17,3.130212766,44.50109814,
42,1,,27-Sep-16,30-Dec-16,20-Jan-17,1.636595745,43.13336627,
43,1,,27-Sep-16,30-Dec-16,20-Jan-17,0.542553191,18.20761819,
44,2,,27-Sep-16,30-Dec-16,20-Jan-17,0.705957447,27.96474416,
