Tube,Window,RootID,Appeared (session number),Died (session number),Appeared,Died,Lifespan,Maximum Length,Maximum Diameter,Length date(1),Diameter date(1),Color date(1),Condition Code date(1),Length date(2),Diameter date(2),Color date(2),Condition Code date(2),Length date(3),Diameter date(3),Color date(3),Condition Code date(3),Length date(4),Diameter date(4),Color date(4),Condition Code date(4),Length date(5),Diameter date(5),Color date(5),Condition Code date(5),Length date(6),Diameter date(6),Color date(6),Condition Code date(6),Length date(7),Diameter date(7),Color date(7),Condition Code date(7),Length date(8),Diameter date(8),Color date(8),Condition Code date(8),Length date(9),Diameter date(9),Color date(9),Condition Code date(9),Length date(10),Diameter date(10),Color date(10),Condition Code date(10),Length date(11),Diameter date(11),Color date(11),Condition Code date(11),Length date(12),Diameter date(12),Color date(12),Condition Code date(12),Length date(13),Diameter date(13),Color date(13),Condition Code date(13),Length date(14),Diameter date(14),Color date(14),Condition Code date(14),Length date(15),Diameter date(15),Color date(15),Condition Code date(15),Length date(16),Diameter date(16),Color date(16),Condition Code date(16),Length date(17),Diameter date(17),Color date(17),Condition Code date(17),Length date(18),Diameter date(18),Color date(18),Condition Code date(18),Length date(19),Diameter date(19),Color date(19),Condition Code date(19),Length date(20),Diameter date(20),Color date(20),Condition Code date(20),Length date(21),Diameter date(21),Color date(21),Condition Code date(21),Length date(22),Diameter date(22),Color date(22),Condition Code date(22),Length date(23),Diameter date(23),Color date(23),Condition Code date(23),Length date(24),Diameter date(24),Color date(24),Condition Code date(24),Length date(25),Diameter date(25),Color date(25),Condition Code date(25),Length date(26),Diameter date(26),Color date(26),Condition Code date(26),Length date(27),Diameter date(27),Color date(27),Condition Code date(27),Length date(28),Diameter date(28),Color date(28),Condition Code date(28),Length date(29),Diameter date(29),Color date(29),Condition Code date(29),Length date(30),Diameter date(30),Color date(30),Condition Code date(30),Length date(31),Diameter date(31),Color date(31),Condition Code date(31),Length date(32),Diameter date(32),Color date(32),Condition Code date(32),Length date(33),Diameter date(33),Color date(33),Condition Code date(33)
1,11,1,1,3,2/6/2017,3/6/2017,28,6.239176,0.822129,6.239176,0.822129,White,NO_CODE,6.239176,0.822129,White,NO_CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,2,1,3,2/6/2017,3/6/2017,28,2.621088,0.21928,2.621088,0.21928,White,NO_CODE,2.621088,0.21928,White,NO_CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,3,1,3,2/6/2017,3/6/2017,28,3.845959,0.180723,3.845959,0.180723,White,NO_CODE,3.845959,0.180723,White,NO_CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,4,3,13,3/6/2017,8/18/2017,165,5.374022,0.180723, , , ,, , , ,,5.374022,0.180723,White,NO_CODE,5.374022,0.180723,White,NO_CODE,5.374022,0.180723,White,NO_CODE,5.374022,0.180723,White,NO_CODE,5.374022,0.180723,White,NO_CODE,5.374022,0.180723,White,NO_CODE,5.374022,0.180723,White,NO_CODE,5.374022,0.180723,White,NO_CODE,5.374022,0.180723,White,NO_CODE,5.374022,0.180723,White,NO_CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,5,3,-,3/6/2017,-,527,2.979163,0.170387, , , ,, , , ,,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE,2.979163,0.170387,White,NO_CODE
1,11,6,3,-,3/6/2017,-,527,0.858566,0.162204, , , ,, , , ,,0.858566,0.150602,White,NO_CODE,0.858566,0.150602,White,NO_CODE,0.858566,0.150602,White,NO_CODE,0.858566,0.150602,White,NO_CODE,0.858566,0.150602,White,NO_CODE,0.858566,0.150602,White,NO_CODE,0.858566,0.150602,White,NO_CODE,0.858566,0.150602,White,NO_CODE,0.858566,0.150602,White,NO_CODE,0.858566,0.150602,White,NO_CODE,0.858566,0.150602,White,NO_CODE,0.858566,0.150602,White,NO_CODE,0.858566,0.150602,White,NO_CODE,0.858566,0.150602,White,NO_CODE,0.858566,0.150602,White,NO_CODE,0.858566,0.150602,White,NO_CODE,0.858566,0.150602,White,NO_CODE,0.858566,0.150602,White,NO_CODE,0.858566,0.150602,White,NO_CODE,0.858566,0.150602,White,NO_CODE,0.858566,0.150602,White,NO_CODE,0.858566,0.150602,White,NO_CODE,0.858566,0.150602,White,NO_CODE,0.858566,0.162204,White,NO_CODE,0.858566,0.162204,White,NO_CODE,0.858566,0.162204,White,NO_CODE,0.858566,0.162204,White,NO_CODE,0.858566,0.162204,White,NO_CODE,0.858566,0.162204,White,NO_CODE,0.858566,0.162204,White,NO_CODE,0.858566,0.162204,White,NO_CODE
1,11,7,3,13,3/6/2017,8/18/2017,165,1.119332,0.150602, , , ,, , , ,,1.119332,0.150602,White,NO_CODE,1.119332,0.150602,White,NO_CODE,1.119332,0.150602,White,NO_CODE,1.119332,0.150602,White,NO_CODE,1.119332,0.150602,White,NO_CODE,1.119332,0.150602,White,NO_CODE,1.119332,0.150602,White,NO_CODE,1.119332,0.150602,White,NO_CODE,1.119332,0.150602,White,NO_CODE,1.119332,0.150602,White,NO_CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,1,10,14,7/3/2017,8/31/2017,59,2.986624,0.259106, , , ,, , , ,, , , ,, , , ,, , , ,, , , ,, , , ,, , , ,, , , ,,2.986624,0.259106,White,NO_CODE,2.986624,0.259106,White,NO_CODE,2.986624,0.259106,White,NO_CODE,2.986624,0.259106,White,NO_CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,1,2,20,2/21/2017,12/27/2017,309,3.687422,0.451807, , , ,,1.686814,0.362699,White,NO_CODE,2.897287,0.362699,White,NO_CODE,2.897287,0.362699,White,NO_CODE,2.897287,0.362699,White,NO_CODE,3.058564,0.362699,White,NO_CODE,3.51933,0.451807,White,NO_CODE,3.51933,0.451807,White,NO_CODE,3.51933,0.451807,White,NO_CODE,3.51933,0.451807,White,NO_CODE,3.51933,0.451807,White,NO_CODE,3.687422,0.451807,White,NO_CODE,3.687422,0.451807,White,NO_CODE,3.687422,0.451807,White,NO_CODE,3.687422,0.451807,White,NO_CODE,3.687422,0.451807,White,NO_CODE,3.687422,0.451807,White,NO_CODE,3.687422,0.451807,White,NO_CODE,3.687422,0.451807,White,NO_CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,1,1,13,2/6/2017,8/18/2017,193,4.522731,0.422761,4.522731,0.422761,White,NO_CODE,4.522731,0.422761,White,NO_CODE,4.522731,0.422761,White,NO_CODE,4.522731,0.422761,White,NO_CODE,4.522731,0.422761,White,NO_CODE,4.522731,0.422761,White,NO_CODE,4.522731,0.422761,White,NO_CODE,4.522731,0.422761,White,NO_CODE,4.522731,0.422761,White,NO_CODE,4.522731,0.422761,White,NO_CODE,4.522731,0.422761,White,NO_CODE,4.522731,0.422761,White,NO_CODE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
